app,userName,at,score,title,content
Unacademy,sm_sp,,1,Account sign up,Can’t even make account
Unacademy,WhateverManu425,,1,Too many technical issues on iPad,"1. Green screen behind educator video
2. Enrollment tab disappears 
3. Very less features for iPad app

Raised ticket but no solution till now.
Difficult to study when you have spent so much money."
Unacademy,Chor hai Unacademy,,1,Worst platform,I DID NOT GET HELP AND SUPPORT REGARDING TO MY ACADEMIC PROBLEMS
Unacademy,Ashish748862,,1,Worst decision of my life is to be a part of subscriber of unacademy,Worst customer service 🤡🤡
Unacademy,Anuragyadavg,,1,Logging problem,Non logging in my centre subscription number
Unacademy,Mayur Korakuti,,3,Technical issue,The app isn’t working well. Though I downloaded lectures it isn’t connecting.
Unacademy,Nida Baig 666,,2,Cant see self study tab,I cant see self study tab in my phone i took an iconic subscription. I also generated a ticket even then i did not get a reply.
Unacademy,Varma hai,,1,Worst service,Please Dnt join there not responding properly twoooo worst service
Unacademy,jiya222222,,1,harrasment,"please improve your customer service ..
they literally call me 100 times to join the course u cannot call a person 100 times"
Unacademy,tvisss,,5,great platform,really a good platform more than 100 days i had join I am fully satisfied
Unacademy,Abc 123 dear 9211,,1,Downloading lectures does not work properly.,"After updating to version 2.2.9 Any lecture which I download shows completely downloaded instantly, but while playing the lecture in only buffers."
Unacademy,Worst@143111,,1,Too worst,Worst app worst online course please don’t join this Unacademy class
Unacademy,AbhiThakur27,,1,Downloaded classes not working.,Downloaded classes are not working. No response from technical team from past week.
Unacademy,Sharma2002,,1,Class download problem,Class download problem
Unacademy,Gourav2301,,1,Very bad customer support after purchasing subscription,"I am unable to download my classes, I tried everything to contact them by they will not pick your phone, they will always send a same email to which they direct to contact with chat bot, the chat bot always raise tickets, nothing result. My exam is near and this happening"
Unacademy,thisizmandeep,,1,Stop,Stop calling me from different numbers
Unacademy,priyanshu_arela,,1,Worst app,Educators are good but the working of app is worst among all educational app I have
Unacademy,Kqpeyf,,1,Worst customer experience,This academy and there service towards us is ignorant. They never respond clearly after you purchase the course. Not recommended ever.
Unacademy,Vishu Rastogi,,2,Technical glitches,"Initially i was having great experience with unacademy. The app was working smoothly. Then problems started arising…Download issues, Screen timeout, Screen breakout. I raised the ticket every time. But responded after 3/4 days. Not satisfied with the Customer support service."
Unacademy,kvshl09,,1,Worst app for studying,"Too much bugs , complaint about it, but never took it seriously."
Unacademy,Jyoti iphone12,,1,Bad app,Automatically shut down multiple times during the class . Not able to focus
Unacademy,TIRTHAJYOTI,,1,Worst app ever,"App keeps on crushing. I regularly updat it. Also tried by uninstalling and reinstalling but , noting changes. During a class , the app often crushes/stopped. So frustrating for a 3 years iconic subscriber like me for YPSC preparation"
Unacademy,Ppdhdbgcndej,,1,After sale service very bad ie backwaaas,Jo person mere ok call Kiya tha subscriptions lene Ke liye class 12 Ka subscription lene se pahle call attend karate tha jaise hi mene subscription Ke liya uske bad call hi attend nahi kar raha hai and support Ke liye mail karo ye kya hai Usene bola tha koi problem hoga toh call karna uska ata pata hi nahi hai
