content,score,source,app,clean_review
maja nahi aata is app mai study mai bhi koi khas helpfull nahi hai isiliye mai dusri coching sai online course lekar study karata hu,1,PlayStore,Unacademy,maja nahi aata is app mai study mai bhi koi khas helpfull nahi hai isiliye mai dusri coching sai online course lekar study karata hu
unnecessary call always,1,PlayStore,Unacademy,unnecessary call always
great experience in this app 😍😍,5,PlayStore,Unacademy,great experience in this app 
This is very good online education platform of India,5,PlayStore,Unacademy,this is very good online education platform of india
this app sucks pls dont downlonad it they will constantly harass you by callimg 10 to 15 times in a day and tell you to buy their course,1,PlayStore,Unacademy,this app sucks pls dont downlonad it they will constantly harass you by callimg  to  times in a day and tell you to buy their course
didn't access the previous courses . validity still to the next year 2026,1,PlayStore,Unacademy,didnt access the previous courses  validity still to the next year 
my first attempt I am best I can do it next attempt,5,PlayStore,Unacademy,my first attempt i am best i can do it next attempt
very good educators,5,PlayStore,Unacademy,very good educators
"enrolled for UPSC batch, the mobile application is very bad. it has lot of technical glitches. also if you complaint about the same to the technical staff at the center they act very unresponsive. They have no accountability towards solving your problems. They just ignore you or behave weirdly whenever you tell them about the issue.",1,PlayStore,Unacademy,enrolled for upsc batch the mobile application is very bad it has lot of technical glitches also if you complaint about the same to the technical staff at the center they act very unresponsive they have no accountability towards solving your problems they just ignore you or behave weirdly whenever you tell them about the issue
best platform for study 😁,5,PlayStore,Unacademy,best platform for study 
excellent 👍,5,PlayStore,Unacademy,excellent 
quality education provided in this platform,4,PlayStore,Unacademy,quality education provided in this platform
they fooled me their marketing person fooled me took money and now not responding written n number of emails to unacademy they are also not responding no they have not given any proper response only same response don't fool around,1,PlayStore,Unacademy,they fooled me their marketing person fooled me took money and now not responding written n number of emails to unacademy they are also not responding no they have not given any proper response only same response dont fool around
good aap solve eran,5,PlayStore,Unacademy,good aap solve eran
worst education app in india.....I purchased guarantee batch for neet 2026... but the batch is discontinued.....and our money is not refunded till now.....I suggest..... don't go with academy...,1,PlayStore,Unacademy,worst education app in indiai purchased guarantee batch for neet  but the batch is discontinuedand our money is not refunded till nowi suggest dont go with academy
I feel cheated. The Iconic pack which I purchased at 12.5k is actually offering only 8.5k. Fees should be same for all students at all times Iconic pack is useless. some teachers teach irregular topic.,1,PlayStore,Unacademy,i feel cheated the iconic pack which i purchased at k is actually offering only k fees should be same for all students at all times iconic pack is useless some teachers teach irregular topic
very very porr aap,1,PlayStore,Unacademy,very very porr aap
"The educators are very good but the app is very slow ,and the people of unacademy call us at the time of subscription after that they forgot to call you back when you need their help for educators only i give 3 stars",3,PlayStore,Unacademy,the educators are very good but the app is very slow and the people of unacademy call us at the time of subscription after that they forgot to call you back when you need their help for educators only i give  stars
"when I login with my phone number, continue they are calling. please do not call again and again . it makes someone irritative and creates distrubance . I got moral that you should not give ur mobile number to any education application continue calls I'm receiving from morning I request to stop calls else I will block every unknown calls. it is making me more irritative",1,PlayStore,Unacademy,when i login with my phone number continue they are calling please do not call again and again  it makes someone irritative and creates distrubance  i got moral that you should not give ur mobile number to any education application continue calls im receiving from morning i request to stop calls else i will block every unknown calls it is making me more irritative
bakar institute hai sab say mai unacademy koy in kai institute say nai padha,1,PlayStore,Unacademy,bakar institute hai sab say mai unacademy koy in kai institute say nai padha
